Name,Category,TotalStaked,Tier,Rank,Stakers,AmountPerStaker
3ridge,utility,3027617.358,Tier 4,0,7,432516.765428571
(Delisted)ACryptoS,defi,60155,No Tier,None,3,20051.6666666667
(Delisted)Age Of Chronos,nft,0,No Tier,None,0,0
AirLyft.One,utility,33055676.856,Tier 3,2,165,200337.435490909
Algem,defi,25442489.129,Tier 3,1,335,75947.7287432836
ApeXChimpz,nft,2619771.868,Tier 4,0,146,17943.6429315069
Archisinal,nft,86459.845,No Tier,None,7,12351.4064285714
ArtZero,nft,1000,No Tier,None,1,1000
ArthSwap,defi,35418448.258,Tier 3,3,645,54912.3228806201
Astar Blockchain Node Service,utility,1421038.932,No Tier,None,82,17329.7430731707
Astar Core Contributors,tooling,497096411.233999,Tier 1,0,2386,208338.814431684
Astar Degens,nft,50927670.63,Tier 3,6,621,82009.1314492754
Astar Dex StarSwap,defi,2866416.058,Tier 4,0,46,62313.3925652174
(Delisted)Astar Exchange,defi,0,No Tier,None,0,0
Astar Farm,defi,22778374.327,Tier 3,0,91,250311.805791209
Astar Safe,tooling,3824057.397,Tier 4,1,64,59750.896828125
Astar Sign Witch,nft,494626.447,No Tier,None,48,10304.7176458333
Astar Web3 Domains,utility,162684.141,No Tier,None,25,6507.36564
AstarCats,nft,129271.063,No Tier,None,20,6463.55315
AstridDAO,defi,8766133.112,Tier 4,4,24,365255.546333333
(Delisted)Avault,defi,189046.51,No Tier,None,22,8593.02318181818
Bandit Network - The Growth Tookit for Web3,utility,391178.885,No Tier,None,30,13039.2961666667
Bluez NFT Marketplace,nft,12688.304,No Tier,None,2,6344.152
Bware Labs and Blast API,utility,273153.944,No Tier,None,4,68288.486
C14 Finance,defi,81208.835,No Tier,None,24,3383.70145833333
CANDY GIRL,nft,1596911.862,No Tier,None,24,66537.99425
COSMIZE,others,18583.891,No Tier,None,6,3097.31516666667
(Delisted)Ceres Liquidity and Token Lockers,defi,6155,No Tier,None,2,3077.5
ChainChaser,tooling,827090.709,No Tier,None,30,27569.6903
Community Treasury,utility,208969403.328,Tier 2,6,350,597055.43808
D8A,tooling,14153.161,No Tier,None,6,2358.86016666667
DappRadar,tooling,174036.558,No Tier,None,14,12431.1827142857
DeForm,tooling,1954452.222,Tier 4,0,16,122153.263875
DeStore,nft,9901770.084,Tier 4,4,213,46487.1834929577
Dwellir,utility,361443.687,No Tier,None,10,36144.3687
Dâ€™CENT Wallet,utility,760684.642,No Tier,None,19,40036.0337894737
FiDi,utility,429801.591,No Tier,None,11,39072.8719090909
GameDAO,utility,76230308.696,Tier 2,0,155,491808.4432
Grabber,tooling,5284.111,No Tier,None,4,1321.02775
HAHA Coin,others,3367535.071,Tier 4,1,161,20916.3669006211
HEALTHREE,nft,26542564.809,Tier 3,1,371,71543.3013719676
Heroic Animals,nft,18026.342,No Tier,None,4,4506.5855
(Delisted)I am xAlice,nft,327746.054,No Tier,None,15,21849.7369333333
InsureDAO,tooling,37459.536,No Tier,None,14,2675.68114285714
JPYC,defi,5005509.273,Tier 4,2,150,33370.06182
KEKKAI,tooling,627575.045,No Tier,None,50,12551.5009
KIRIFUDA,nft,38592.277,No Tier,None,5,7718.4554
Kaiso Finance,others,17908.106,No Tier,None,4,4477.0265
L2X.pro,defi,11655,No Tier,None,4,2913.75
Lotto,unstoppable-grants,19624144.093,Tier 3,0,66,297335.516560606
Lucky,others,7090934,Tier 4,3,160,44318.3375
Metadomo,utility,508979.113,No Tier,None,30,16965.9704333333
Metasky,tooling,5604.111,No Tier,None,4,1401.02775
MoonFit,nft,57788.605,No Tier,None,10,5778.8605
NEET,unstoppable-grants,28715375.503,Tier 3,2,45,638119.455622222
NFT Pocket | LOYLE,tooling,16000,No Tier,None,2,8000
NFTs2Me,nft,5060.057,No Tier,None,2,2530.0285
Neemo Finance,defi,95900054.249,Tier 2,1,753,127357.309759628
Neurolanche X Labs,others,194615228.43,Tier 2,6,1888,103080.099804025
Nova Wallet,others,37249311.442,Tier 3,3,224,166291.5689375
OnFinality,utility,5909318.597,Tier 4,2,66,89535.1302575758
PINKY,nft,525803.034,No Tier,None,112,4694.66994642857
Paras,nft,306420.088,No Tier,None,26,11785.388
Polkaholic.io,utility,277536.83,No Tier,None,7,39648.1185714286
Polkasafe Multisig,utility,232840.782,No Tier,None,6,38806.797
Prometheus - AI Dex by Balance AI,defi,1380386.12,No Tier,None,62,22264.2922580645
ProofX,nft,186935.5,No Tier,None,9,20770.6111111111
Protofire,tooling,7824.589,No Tier,None,5,1564.9178
QuickSwap,defi,20647119.812,Tier 3,0,657,31426.3619665145
RAIR,nft,12000,No Tier,None,2,6000
Rarible,nft,36088.787,No Tier,None,10,3608.8787
Sentio,utility,399480.077,No Tier,None,14,28534.2912142857
SiO2 Finance,defi,1448244.748,No Tier,None,80,18103.05935
Singular,nft,1835798.086,Tier 4,0,106,17318.8498679245
(Delisted)SkyLab Corporation,others,33527370.475,Tier 3,3,107,313339.910981308
Slash Vision Labs,defi,478320.463,No Tier,None,18,26573.3590555556
Sonova,nft,4080228.383,Tier 4,1,59,69156.4132711864
Starlay Finance,defi,185955.74,No Tier,None,29,6412.26689655173
SushiTop,nft,196636.357,No Tier,None,14,14045.4540714286
TalismanðŸª¬,utility,23070584.544,Tier 3,0,657,35115.0449680365
The Royal Raffle,nft,123639.208,No Tier,None,17,7272.89458823529
(Delisted)VeryLongSwap (Staking airdrop),defi,22101263.789,Tier 3,0,365,60551.4076410958
Web3alert,tooling,61782.196,No Tier,None,10,6178.2196
XO - Web3 Social,others,26061.05,No Tier,None,10,2606.105
XY Finance,defi,63249.336,No Tier,None,18,3513.852
Zenlink,defi,10011996.761,Tier 4,5,103,97203.8520485436
beyondClub,nft,773636.459,No Tier,None,15,51575.7639333333
keyvault,utility,264664.315,No Tier,None,21,12603.0626190476
mooon,nft,471905.142,No Tier,None,16,29494.071375
tofuNFT,nft,361461.384,No Tier,None,28,12909.3351428571
